,reviews_classified_all
141,o aplicativo e um pouco lento se erra a senha uma ou duas vezes ja tem que cadastrar novamente e o pix teria que ser mais facil todas pessoas que eu conheco e tem conta na caixa reclamam da dificuldade que e fazer um pix no aplicativo da caixa
142,aplicativo apresenta erros para abrir ja fazem dois dias que nao consigo acessar minha conta
143,antigamente era ate aceitavel mas agora e tanta seguranca que nem eu mesmo consigo acessar minha propria conta o melhor a se fazer e deixar de usar esse banco pra sempre pois tudo com ele e na base do “tenta a sorte”
144,melhorou um pouco a questao do acesso a conta mas agora o leitor de codigo de barras no aplicativo parou de funcionar tenho que digitar todos os numeros ola pessoal o botao do leitor do codigo de barras no aplicativo nao funciona em outro casos esta funcionando
145,o aplicativo fica com a mensagem de “nao foi possivel acessar nesse momento tente mais tarde”
146,esta complicado nao consigo acessar minha conta de forma alguma
147,chega ser folclorico as instabilidades desse aplicativo quando nao apresenta falhas recorrentes no login bloqueia senhas e fecha inesperadamente absurdo daqui a pouco vao alegar que e culpa do pr
148,absolutamente do nada me pediram para cadastrar meu telefone novamente eu nao consigo fazer nada sem ir a um caixa eletronico fui no meu computador e a mesma coisa aconteceu tenho ele ha 5 anos e ja acessei diversas vezes acho que voltamos pra 1901 e nao me avisaram banco completamente fora da realidade se nao fosse publico ja teria quebrado ou seja ainda pagamos a conta no final pela improdutividade de voces
149,buga toda hora pedindo a senha tento varias vezes e bloqueia o usuario faco de nono e continua o problema resolva isso pra nos vou ter que mudar de banco por conta disso
150,faco cadastro com os dados corretos e quando entro diz senha incorreta ridiculo isso
151,esse carai tem algo contra ios ja tem um 3 meses que tento acessar minha conta e nao consigo
152,o aplicativo e excelente porem alguns dias fica com essa informacao ao acessar e muitas vezes preciso para fazer pix obrigada
153,horrivel lento fica solicitando senha validacao aplicativo mal feito
154,aplicativo instavel nao consigo acessar minha conta isso e que corrigiram ne
155,prezados desenvolvedores melhores a estabilidade da conexao as vezes e uma batalha pra conseguir logar ja fiquei na mao em momentos que precisei fazer uso do aplicativo e constantemente da erro ao logar com face id sendo necessario por a senha novamente
156,caso eu queira o comprovante de uma pagamento que fiz mes passado o aplicativo nao fornece erro no acesso aos dados isso nao devia acontecer
157,todo santo dia da erro para fazer o login tanto com senha como no faceid e bloqueia o usuario e tem que fazer o cadastro novamente esse erro ja vem a anos e nunca e corrigido
158,desloga direto sempre tenho que ta trocando senha preenchendo tudo de novo pra usar o aplicativo
159,mais de 4 semanas sem conseguir acessar o aplicativo porque fica aparecendo mensagem de erro ja liguei na central da caixa e ate mesmo no suporte tecnico da apple a cada ligacao na caixa fico mais de 1h40 aguardando para ser atendida e nunca conseguem me ajudar estou nesse exato momento em uma ultima tentativa para tentar fazer esse aplicativo funcionar e a duracao da ligacao ja esta em 1h50 caso nao de certo vou cancelar essa conta isso ta me atrapalhando demais detalhe ja fui no banco caixa e ninguem consegue me ajudar tambem
160,sempre fica instavel nao conecta quando voce acha que vai ele pede a senha de novo ja fiz mais de 10 logins novos e senhas assim fica dificil
161,toda vez que acesso a opcao ele nao da pra selecionar a opcao de emprestimo do saque aniversario aparecendo a mensagem “estamos quase la” tem dias ja por favor arrumem pois se ficar no prejuizo por conta disso vou ter que tomar alguma providencia juridica obrigado
162,estou na irlanda e nao consigo acessar a conta so fica estabelecendo conexao e nao entra preciso pagar as contas que tem data de vencimento e nao esperam
163,aplicativo constantemente com erro ao acessar ou fora do ar causa bastante transtornos nas urgencias preciso ir ao caixa eletronico pra resolver operacoes
164,aplicativo esta bem mais fluido antes travava tinha muita instabilidade minha senha nao funcionava tinha que cadastrar nova senha agora ta bem mais rapido bastante opcoes no menu e bastante interativo o que pode melhorar e nas respostas do cliente quanto a cartoes emprestimos entre outros
165,aplicativo fica instavel muitas vezes deixando sem acesso em momentos necessarios tenho conta poupanca porque o gerente do banco nao permitiu uma conta corrente gratuita sendo que e lei e por ser poupanca o aplicativo nao permite que eu faca varias coisas como pagamento ipva risos so parece sp jogos de loteria somente megasena e outras transacoes tipo ted quando o aplicativo nao esta fora do ar ele e facil de usar agil tem boa apresentacao
166,desde de o dia 05 de maio de 2022 nao consigo acessar o aplicativo so aparece estabelecendo conexao segura e nao passa disso estou fora do brasil e agora estou prejudicada com a falta de funcionamento deste aplicativo
167,estou na inglaterra e sem acesso ao meu dinheiro consertem isso ja varios brasileiros com o mesmo problema aqui
168,apos a ultima atualizacao nao consigo mais fazer login ao digitar minha senha o aplicativo entra na tela de “estabelecendo conexao segura” e nao sai mais estou impedida de realizar transacoes
169,desde ontem nao consigo acessar o aplicativo ja desinstalei e instalei varias vezes e nao funciona ja me recadastrei e no final diz que “transacao indisponivel no momento efetue novo acesso e tente novem alguns instantes egfnusk8rx isso e um desrespeito com o cliente falta de respeito total
170,o aplicativo esta um lixo quem ja viu o mesmo nao permitir logon quando se usa rede wifi essa versao esta terrivel instavel e com milhares de bugs de acesso
171,passei hoje o dia todo tentando acessar o aplicativo e nao abre pior aplicativo de banco que existe
172,aplicativo nao acessa desde ontem
173,buga o tempo todo nao permite acesso vou deixar de usar esse banco horrivel porque te deixa na mao e preocupado com os dados
174,tem que atualizar ta muito ruim pra conseguir acessar o aplicativo
175,nao sei oque aconteceu com o aplicativo mas nao consigo nem pagar as minhas contas ha dois dias estou sem acesso
176,todo santo mes o aplicativo da esse problema aparece um cod 0450 e nao consigo acessar precisa melhorar isso
177,estou ha dois dias tentando acesso ao aplicativo e nao consigo estava dando um erro de cod 20017 atualizei o aplicativo e agora so fica estabelecendo conexao segura e nao sai disso precisa melhor esse aplicativo que sempre fica dando bugs
178,nao entra nao acessa uma verdadeira nojeira esse aplicativo
179,nao consigo mais fazer pix pagar conta e tenho que constantemente colocar varias vezes a senha pra entrar
180,nao sei o que esta acontecendo que nao consigo acessar o aplicativo e nem recebo pix na conta da caixa
181,sempre os mesmos bugs jamais usaria como banco principal tem 2 dias que nao consigo entrar na minha conta por causa desse erro de login nem com face id nem digitando a senha acabem com esse aplicativo para ao menos diminuir a vergonha desse “banco” se eu dependesse somente desse banco estaria em apuros agora sinceramente uma vergonha
182,depois da ultima atualizacao nao consigo acessar mais
183,nao deixa entrar nem por biometria nem senha fica dando erro pedindo pra tentar novamente por isso e facil migrar pra qualquer outro banco nao deixa fazer nada
184,sempre tenho poblemas com a biometria e nao tem a opcao de esqueci a senha tenho que desistalar e estalar precisa melhorar
185,por favor arrumem o aplicativo preciso acessar minha conta eles nao funciona
