,reviews_classified_all
246,eles simplesmente ignoram sua movimentacao financeira nao aumentam o limite do credito e nao oferecem o ultravioleta apesar de eu ja implorar a mais de 2 anos pensando seriamente em migrar para o inter oi c6 me sinto desprestigiado pelo nubank
247,e otimo o aplicativo
248,ate hoje to esperando o cartao de credito kkkk so kaor
249,o pagamento dos boletos demoram ser reconhecidos qndo fuzemos pagamentos dos creditos me refiro entra 3 dias depois
250,pessoas maravilhosas como vcs me faz mudar de ideia de uma hora pra outravcs e muito eficientes ja estou com o problema solucionadoalmentei minha estrelas pois se tivesse mas daria so o aplicativo que as vezes nao aceita entrarso que entrar com a senha do celulare as vezes nao entra tambemmas sei que vai dar tudo certo obrigada por tudojesus cristo guarde e proteja a todos nos de todo mal🥰 cabo frio14052022 cleide santos de oliveira
251,fica pedindo a senha umas 3 vezes pra depois abrir o aplicativo e olha la você nao pede mais
252,a palavra a ser usada e simplificacao🤣 pois no nubank e tudo simples e pratico
253,muito bom facil de usar
254,otimo excelente
255,otimo
256,otimo aplicativo facil e intuitivo
257,gostei muito foi meu primeiro cartao de credito
258,muito pratico excelente
259,unico problema do nubank pra uns dao limite e pra outros nao dao nada queria enteder isso meu cunhado no spc etc deram 200 eu uso direto esse aplicativo mas agora nao vo usar mais vo ficar so com o mercado pago pelo menos dao limite
260,otimo cartao
261,voces bem que poderia aumentar meu limite porque estou cansado de ter so 50 real de limite faco uma comprar ja era os 50 seria 5 estrela mais você demora pra aumentar meu limite sendo que uso esse cartao direto
262,gente me libera um emprestimo to precisando muito pra fazer um investimento
263,otimo
264,o banco nubank e um dos melhores
265,parabens otimo
266,otimo
267,gosto muito pratico e facil de usar mais poderia ter limite ate agora so me deram 50 reais de limite ou entao voce transfere dinheiro e transformar em limite pra usar como credito 🤦‍
268,faz tempo que uso pago antecipado mas o limite nao aumenta sempre a mesma coisa
269,o nunbak e o melhor aplicativo digital
270,otimo banco digital aplicativo bem intuitivo e facil de utilizar no dia a dia para as transacoes financeiras recomendo
271,um bom cartao pois todo estabelecimento e bem vindo
272,limite besos musk
273,otimo top
274,banco otimo so nao to conseguindo muda o endereco para receber meu cartao de credito
275,muito otimo aplicativo
276,o rouxinho e top agora fica a guerra o rouxinho e o ze pretinho os dois sao minha satisfacao so nao dou 5 estrelas porque ainda falta muita coisa pra ir ao melhor patamare como se fosse os bancos do the voice o que virou primeiro tem meu privilegio
277,um otimo cartao tenho a 4 anos
278,otimo
